,flowS1-curr,prcpS1-1day,prcpS2-1day,prcpS3-1day,flowS1-1day,flowS2-1day,prcpS1-2day,prcpS2-2day,prcpS3-2day,flowS1-2day,flowS2-2day,prcpS1-3day,prcpS2-3day,prcpS3-3day,flowS1-3day,flowS2-3day
284,medium,small,small,medium,large,large,large,medium,medium,large,large,small,small,small,large,large
285,medium,small,small,medium,medium,medium,small,small,medium,large,large,large,medium,medium,large,large
286,medium,small,small,small,medium,medium,small,small,medium,medium,medium,small,small,medium,large,large
287,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,small,medium,medium,medium
288,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
289,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
290,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
291,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
292,medium,small,small,medium,medium,small,small,small,small,medium,medium,small,small,small,medium,medium
293,small,small,small,small,medium,small,small,small,medium,medium,small,small,small,small,medium,medium
294,medium,medium,large,medium,small,small,small,small,small,medium,small,small,small,medium,medium,small
295,medium,large,large,large,medium,small,medium,large,medium,small,small,small,small,small,medium,small
296,medium,large,medium,large,medium,medium,large,large,large,medium,small,medium,large,medium,small,small
297,medium,small,small,small,medium,medium,large,medium,large,medium,medium,large,large,large,medium,small
298,medium,small,small,small,medium,medium,small,small,small,medium,medium,large,medium,large,medium,medium
299,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
300,small,small,small,small,medium,small,small,small,small,medium,medium,small,small,small,medium,medium
301,small,small,small,small,small,medium,small,small,small,medium,small,small,small,small,medium,medium
302,small,small,small,small,small,small,small,small,small,small,medium,small,small,small,medium,small
303,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,medium
304,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
305,small,small,small,small,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
306,medium,small,small,small,small,small,small,small,small,medium,medium,small,small,small,medium,medium
307,medium,small,small,large,medium,small,small,small,small,small,small,small,small,small,medium,medium
308,medium,small,small,small,medium,small,small,small,large,medium,small,small,small,small,small,small
309,medium,large,large,large,medium,medium,small,small,small,medium,small,small,small,large,medium,small
310,medium,medium,large,large,medium,small,large,large,large,medium,medium,small,small,small,medium,small
311,medium,medium,small,small,medium,small,medium,large,large,medium,small,large,large,large,medium,medium
312,medium,small,medium,medium,medium,small,medium,small,small,medium,small,medium,large,large,medium,small
313,medium,large,large,large,medium,small,small,medium,medium,medium,small,medium,small,small,medium,small
314,medium,medium,large,medium,medium,small,large,large,large,medium,small,small,medium,medium,medium,small
315,medium,large,large,large,medium,medium,medium,large,medium,medium,small,large,large,large,medium,small
316,medium,large,large,large,medium,small,large,large,large,medium,medium,medium,large,medium,medium,small
317,medium,medium,large,large,medium,small,large,large,large,medium,small,large,large,large,medium,medium
318,medium,large,small,large,medium,medium,medium,large,large,medium,small,large,large,large,medium,small
319,medium,medium,medium,medium,medium,medium,large,small,large,medium,medium,medium,large,large,medium,small
320,large,medium,large,large,medium,medium,medium,medium,medium,medium,medium,large,small,large,medium,medium
321,large,large,large,large,large,large,medium,large,large,medium,medium,medium,medium,medium,medium,medium
322,large,large,large,large,large,large,large,large,large,large,large,medium,large,large,medium,medium
323,large,small,large,large,large,large,large,large,large,large,large,large,large,large,large,large
324,large,large,large,large,large,large,small,large,large,large,large,large,large,large,large,large
325,large,large,large,large,large,large,large,large,large,large,large,small,large,large,large,large
326,large,large,large,large,large,large,large,large,large,large,large,large,large,large,large,large
327,large,large,large,medium,large,large,large,large,large,large,large,large,large,large,large,large
328,large,small,large,large,large,large,large,large,medium,large,large,large,large,large,large,large
329,large,small,small,large,large,large,small,large,large,large,large,large,large,medium,large,large
330,large,small,large,large,large,large,small,small,large,large,large,small,large,large,large,large
331,large,large,large,large,large,large,small,large,large,large,large,small,small,large,large,large
332,large,large,large,large,large,large,large,large,large,large,large,small,large,large,large,large
333,large,medium,medium,large,large,large,large,large,large,large,large,large,large,large,large,large
334,medium,small,small,small,large,large,medium,medium,large,large,large,large,large,large,large,large
335,medium,small,small,small,medium,medium,small,small,small,large,large,medium,medium,large,large,large
336,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,small,small,large,large
337,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
338,medium,medium,large,medium,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
339,medium,small,small,medium,medium,medium,medium,large,medium,medium,medium,small,small,small,medium,medium
340,medium,small,large,medium,medium,medium,small,small,medium,medium,medium,medium,large,medium,medium,medium
341,medium,medium,large,large,medium,medium,small,large,medium,medium,medium,small,small,medium,medium,medium
342,medium,large,large,large,medium,medium,medium,large,large,medium,medium,small,large,medium,medium,medium
343,medium,medium,large,large,medium,medium,large,large,large,medium,medium,medium,large,large,medium,medium
344,medium,medium,small,large,medium,medium,medium,large,large,medium,medium,large,large,large,medium,medium
345,medium,medium,small,large,medium,medium,medium,small,large,medium,medium,medium,large,large,medium,medium
346,medium,small,small,small,medium,medium,medium,small,large,medium,medium,medium,small,large,medium,medium
347,medium,small,small,small,medium,medium,small,small,small,medium,medium,medium,small,large,medium,medium
348,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
349,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
